"ORG_ID"|"NAVN"|"ORG_NAVN"|"POSITION"|"BESKRIVELSE"|"BIQ_PERSON_ID"
5000011|"Harry Klagsbrunn"|"ISS"|"Bestyrelsespost"|""|389059
5000011|"Henrik Andersen"|"ISS"|"Direktionspost Økonomidirektør"|""|399852
5000011|"Jeff Olsen Gravenhorst"|"ISS"|"Direktionspost adm. dir"|""|432292
5000011|"Leif Albert Östling"|"ISS"|"Bestyrelsespost næstformand"|""|523107
5000011|"Ole Andersen"|"ISS"|"Bestyrelsespost formand"|""|1002243
5000011|"Steven Richard Sher"|"ISS"|"Bestyrelsespost"|""|1334488
5000011|"Palle Fransen Queck"|"ISS"|"Bestyrelsespost"|""|1838291
5000011|"Michel Marie Alain Combes"|"ISS"|"Bestyrelsespost"|""|1893978
5000011|"Pernille Benborg"|"ISS"|"Bestyrelsespost"|""|1985263
5000011|"Joseph Nazareth"|"ISS"|"Bestyrelsespost"|""|1985264
5000011|"Jennie Chua Kheng Yeng"|"ISS"|"Bestyrelsespost"|""|17064007
5000012|"Adam Troels Bjerg"|"ISS FACILITY SERVICES A/S"|"Bestyrelsespost formand"|""|239904
5000012|"Annalise Jensen"|"ISS FACILITY SERVICES A/S"|"Bestyrelsespost"|""|254153
5000012|"Bjørn Raasteen"|"ISS FACILITY SERVICES A/S"|"Bestyrelsespost"|""|289189
5000012|"Flemming Jesper Bendt"|"ISS FACILITY SERVICES A/S"|"Direktionspost Økonomidirektør"|""|1622891
5000012|"Gorm Sauer Jensen"|"ISS FACILITY SERVICES A/S"|"Bestyrelsespost"|""|1856409
5000012|"Helene Tamilla Vahman"|"ISS FACILITY SERVICES A/S"|"Bestyrelsespost"|""|1742792
5000012|"Henrik Kryhlmand"|"ISS FACILITY SERVICES A/S"|"Bestyrelsespost"|""|1584584
5000012|"Ina Duckert Sloth Madsen"|"ISS FACILITY SERVICES A/S"|"Bestyrelsespost"|""|1584585
5000012|"Lars Kufall Beck"|"ISS FACILITY SERVICES A/S"|"Bestyrelsespost"|""|1608635
5000012|"Lars Michael Folkmann"|"ISS FACILITY SERVICES A/S"|"Direktionspost"|""|518746
5000012|"Maarten Van Engeland"|"ISS FACILITY SERVICES A/S"|"Direktionspost adm. dir"|""|539005
5000012|"Sanitør Bent Erik Jensen"|"ISS FACILITY SERVICES A/S"|"Bestyrelsespost"|""|271225
5000515|"Peter Thrane Grubert"|"Itella Logistics"|"Bestyrelsespost"|""|607814
5000515|"Jørn Johansen"|"Itella Logistics"|"Direktionspost adm. dir"|""|1177493
5000515|"Olli Heikki Heinonen"|"Itella Logistics"|"Bestyrelsespost"|""|16860419
5000515|"Lauri Olavi Vesalainen"|"Itella Logistics"|"Bestyrelsespost formand"|""|16860420
5000768|"Vagn Thorup"|"ITW Construction Prod."|"Bestyrelsespost Formand"|""|689540
5000768|"Flemming Tesstrup Worsøe"|"ITW Construction Prod."|"Bestyrelsespost Medarbejdervalgt"|""|981550
5000768|"Svend Lycke"|"ITW Construction Prod."|"Direktionspost"|""|1270820
5000768|"David Colin Parry"|"ITW Construction Prod."|"Bestyrelsespost"|""|1474980
5000768|"Charles Loïc Lombard"|"ITW Construction Prod."|"Direktionspost"|""|1504076
5000768|"Didier Andre Marcel Bourrette"|"ITW Construction Prod."|"Bestyrelsespost"|""|1796480
5000825|"Stig Bigaard"|"Iveco"|"Bestyrelsespost formand"|""|647099
5000825|"Gunni Baagøe-Mikkelsen"|"Iveco"|"Bestyrelsespost"|""|846383
5000825|"Hendrikus Cornelis van Leuven"|"Iveco"|"Bestyrelsespost"|""|17143936
5000149|"Bent Østergaard"|"J. Lauritzen"|"Bestyrelsespost formand"|""|275687
5000149|"Birgit Aagaard-Svendsen"|"J. Lauritzen"|"Direktionspost"|""|280119
5000149|"Jan Kastrup-Nielsen"|"J. Lauritzen"|"Direktionspost"|""|426192
5000149|"Marianne Wiinholt"|"J. Lauritzen"|"Bestyrelsespost"|""|544548
5000149|"Niels Thomas Heering"|"J. Lauritzen"|"Bestyrelsespost"|""|574794
5000149|"Odd Ingar Skaug"|"J. Lauritzen"|"Bestyrelsespost næstformand"|""|578287
5000149|"Torben Janholt"|"J. Lauritzen"|"Direktionspost"|""|679091
